trade_date,yield_rate_000001.SZ,yield_rate_600015.SH,yield_rate_601398.SH,yield_rate_601939.SH,yield_rate_601988.SH,yield_rate_601998.SH,amihud_000001.SZ,amihud_600015.SH,amihud_601398.SH,amihud_601939.SH,amihud_601988.SH,amihud_601998.SH
2018-01-02,0.030075187969924814,0.012222222222222223,-0.0032258064516129032,0.01432291666666667,0.0025188916876574307,0.019354838709677417,1.620166027475919e-05,5.8385704415067384e-05,1.334836255077315e-05,2.6890333676493783e-05,1.8206283305598536e-05,9.806778972028553e-05
2018-01-03,-0.027007299270072997,0.0021953896816684962,-0.0032362459546925572,-0.005134788189987164,0.005025125628140704,0.007911392405063292,1.2178600985623278e-05,5.55490402298115e-05,1.4801115409387045e-05,2.8705777183682282e-05,2.108252685543767e-05,6.797073062815695e-05
2018-01-04,-0.0060015003750937745,0.002190580503833516,-0.01461038961038961,-0.01806451612903226,0.0,0.0031397174254317113,7.3796625242421894e-06,5.8601449090349046e-05,7.368061667113513e-06,1.9889646859389185e-05,1.6777846271918315e-05,8.163595175319795e-05
2018-01-05,0.0037735849056603774,0.0010928961748633882,0.0016474464579901151,0.009198423127463865,-0.005,0.007824726134585291,9.414785079321946e-06,2.410405781469477e-05,4.791038217520975e-06,2.299823393943811e-05,1.4120863525182675e-05,7.528978477289454e-05
2018-01-08,-0.02556390977443609,0.003275109170305677,-0.001644736842105263,-0.01171875,0.007537688442211055,0.015527950310559006,1.198899767687961e-05,6.017280344442679e-05,7.459441089549202e-06,2.7927689883169548e-05,1.1047447425283065e-05,4.602483438261877e-05
2018-01-09,0.009259259259259259,0.0,0.0032948929159802307,-0.003952569169960474,-0.012468827930174564,-0.009174311926605505,1.222147764709252e-05,7.585455848111092e-05,1.1331247193483326e-05,1.6363857049107213e-05,1.8804599733350616e-05,5.33538983257085e-05
2018-01-10,0.029816513761467888,0.017410228509249184,0.01149425287356322,0.029100529100529106,0.01767676767676768,0.018518518518518517,1.3507952977532554e-05,4.752163113232483e-05,1.3886319811756818e-05,2.919876671484884e-05,1.4369862013214285e-05,5.404204356152592e-05
2018-01-11,-0.005196733481811433,-0.006417112299465241,0.00811688311688312,0.011568123393316195,0.014888337468982629,0.01818181818181818,1.2298554835865821e-05,4.331776550583234e-05,1.323408062086032e-05,3.1989612784692666e-05,1.728604392398964e-05,6.111050115950165e-05
2018-01-12,0.011194029850746268,0.00753498385360603,0.0064412238325281795,0.0025412960609911056,0.0,0.019345238095238096,1.127948231474063e-05,4.132580629260908e-05,1.1696619091525916e-05,1.7019564141879683e-05,1.5643391008005317e-05,6.751423308606818e-05
2018-01-15,0.04797047970479705,0.004273504273504274,0.0288,0.02281368821292776,0.022004889975550126,0.017518248175182483,1.363252216701615e-05,3.8460693758354103e-05,1.1130208527798856e-05,2.327754589225787e-05,1.604471216699148e-05,5.8591743639761106e-05
2018-01-16,0.0,0.002127659574468085,0.024883359253499226,0.01982651796778191,0.009569377990430623,0.00430416068866571,7.2872032818307265e-06,3.370249584714343e-05,1.3071937057995635e-05,2.3390273322485506e-05,1.5299667669938434e-05,5.2745611323072666e-05
2018-01-17,0.0021126760563380284,0.010615711252653929,0.019726858877086497,0.019441069258809236,0.0047393364928909965,-0.012857142857142857,1.0751325608364638e-05,4.294536083698965e-05,1.4784601106875202e-05,2.2813743196140514e-05,1.7387633039467066e-05,7.803468126958552e-05
